,artist_name(s),artist_country,artist_home_city,visible_ethnic_minority,census_race_classification,artist_gender,canadian_content,artist_is_group,total_plays,alberta,british columbia,manitoba,new brunswick,nova scotia,ontario,quebec,artist_country_cdn,artist_country_int,artist_country_uk,artist_country_unknown,artist_country_us,visible_ethnic_minority_no,visible_ethnic_minority_unknown,visible_ethnic_minority_yes,artist_gender_female,artist_gender_male,artist_gender_mixed,artist_gender_unknown
0,breakestra,us,"los angeles, ca",yes,mixed group,male,False,True,32,0.40625,0.09375,0.0,0.0,0.0,0.375,0.125,0,0,0,0,1,0,0,1,0,1,0,0
1,candy's .22,us,"los angeles, ca",no,white,male,False,True,10,0.7,0.2,0.0,0.0,0.0,0.1,0.0,0,0,0,0,1,1,0,0,0,1,0,0
2,dangerdoom,us,"new york, ny",yes,black,male,False,False,18,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.8333333333333334,0.0,0,0,0,0,1,0,0,1,0,1,0,0
3,blockhead,us,"new york, ny",no,white,male,False,False,37,0.16216216216216217,0.10810810810810811,0.0,0.0,0.02702702702702703,0.5675675675675675,0.13513513513513514,0,0,0,0,1,1,0,0,0,1,0,0
4,blackalicious,us,"sacramento, ca",yes,black,male,False,True,2,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,1,0,0,1,0,1,0,0
5,onry ozzborn,us,"seattle, wa",yes,hispanic,male,False,False,11,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,0.0,0.45454545454545453,0,0,0,0,1,0,0,1,0,1,0,0
6,various_0,us,unknown,yes,mixed group,male,False,True,238,0.13445378151260504,0.1722689075630252,0.02100840336134454,0.037815126050420166,0.004201680672268907,0.5504201680672269,0.07983193277310924,0,0,0,0,1,0,0,1,0,1,0,0
7,psyche origami,us,"atlanta, ga",yes,mixed group,male,False,True,24,0.4166666666666667,0.0,0.08333333333333333,0.041666666666666664,0.0,0.4583333333333333,0.0,0,0,0,0,1,0,0,1,0,1,0,0
8,various_1,us,unknown,yes,mixed group,mixed,False,True,197,0.25380710659898476,0.13705583756345177,0.06091370558375635,0.03553299492385787,0.005076142131979695,0.4213197969543147,0.08629441624365482,0,0,0,0,1,0,0,1,0,0,1,0
9,mike ladd,us,"boston, mass",yes,black,male,False,False,56,0.26785714285714285,0.23214285714285715,0.21428571428571427,0.0,0.0,0.25,0.03571428571428571,0,0,0,0,1,0,0,1,0,1,0,0
10,id and sleeper,us,"lawrence, ks",no,white,male,False,True,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
11,supastition,us,"greenville, nc",yes,black,male,False,False,17,0.47058823529411764,0.35294117647058826,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0,0,0,0,1,0,0,1,0,1,0,0
12,arhythmatik,us,"phoenix, az",no,white,male,False,False,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
13,blackbird,us,"los angeles, ca",yes,black,male,False,False,9,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.5555555555555556,0.0,0,0,0,0,1,0,0,1,0,1,0,0
14,fatlip,us,"los angeles, ca",yes,black,male,False,False,34,0.11764705882352941,0.3235294117647059,0.08823529411764706,0.0,0.058823529411764705,0.4117647058823529,0.0,0,0,0,0,1,0,0,1,0,1,0,0
15,lady sovereign,uk,"london, eng",no,white,female,False,False,192,0.20833333333333334,0.15625,0.125,0.005208333333333333,0.036458333333333336,0.46875,0.0,0,0,1,0,0,1,0,0,1,0,0,0
16,one self,us,"brooklyn, ny",yes,mixed group,mixed,False,True,20,0.5,0.2,0.0,0.0,0.2,0.1,0.0,0,0,0,0,1,0,0,1,0,0,1,0
17,gilles peterson,int,"caen, fr",no,white,male,False,False,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0
18,emmanuel jal and abdel gadir salim,int,"tonj, sudan",yes,black,male,False,True,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0
