,week_of,unique_artists_played,total_plays,bipoc_plays,male_plays,canadian_content_plays,cjsr_station_plays,cjsw_station_plays,ckxu_station_plays,cfuv_station_plays,cjsf_station_plays,cjum_station_plays,ckdu_station_plays,ciut_station_plays,cfre_station_plays,chrw_station_plays,chuo_station_plays,cilu_station_plays,ckut_station_plays,cfbx_station_plays,cfru_station_plays,cfmh_station_plays,cjam_station_plays,chsr_station_plays,chry_station_plays,cjlo_station_plays,chyz_station_plays,chly_station_plays,cscr_station_plays,cism_station_plays,cick_station_plays,cick_province_plays
0,2006-01-10,80,130,92,119,32,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2006-01-17,71,130,86,117,43,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
2,2006-01-24,72,130,82,116,56,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0
3,2006-01-31,88,150,91,137,55,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0
4,2006-02-07,53,80,49,72,26,10,10,10,10,0,10,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2006-02-14,79,140,91,131,52,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
6,2006-02-21,73,120,88,109,37,10,10,10,10,10,10,0,10,10,10,0,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0
7,2006-02-28,73,150,95,141,55,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,0,0,0,0,0,0,0
8,2006-03-07,69,130,96,115,39,10,10,10,10,10,10,0,10,10,10,0,10,10,0,10,0,10,0,0,0,0,0,0,0,0,0
9,2006-03-14,73,140,101,124,43,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,0,10,0,0,0,0,0,0,0,0,0
10,2006-03-21,67,140,103,122,33,10,10,10,10,10,10,0,10,10,10,0,10,10,0,10,0,10,10,0,0,0,0,0,0,0,0
11,2006-03-28,84,150,115,129,36,10,0,10,10,10,10,0,10,10,10,10,10,10,10,0,0,10,10,10,0,0,0,0,0,0,0
12,2006-04-04,81,140,105,122,33,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,10,10,10,0,0,0,0,0,0,0
13,2006-04-11,87,170,133,143,41,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,0,10,10,0,0,0,0,0,0
14,2006-04-18,77,140,105,117,28,10,10,10,10,0,10,10,10,0,10,10,10,10,0,10,0,0,10,0,10,0,0,0,0,0,0
15,2006-04-25,97,180,137,149,38,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,0,0,0,0,0
16,2006-05-02,73,150,114,129,27,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,0,10,0,10,0,0,0,0,0,0,0
17,2006-05-09,74,140,98,120,30,0,10,10,10,10,10,0,10,10,10,10,10,10,10,0,0,10,0,10,0,0,0,0,0,0,0
18,2006-05-16,75,170,128,139,31,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,0,10,0,0,0,0,0,0
