,STATION,WEEK OF,STATION LATITUDE,STATION LONGITUDE,STATION CITY,STATION PROVINCE,MOST PLAYED ARTIST CITY,ARTIST COUNTRY,MOST PLAYED LABEL TYPE,MOST PLAYED LABEL ,ARTIST GENDER female,ARTIST GENDER male,ARTIST GENDER male group,ARTIST GENDER mixed group,CENSUS RACE CLASSIFICATION asian,CENSUS RACE CLASSIFICATION asian other,CENSUS RACE CLASSIFICATION black,CENSUS RACE CLASSIFICATION hispanic,CENSUS RACE CLASSIFICATION mixed group,CENSUS RACE CLASSIFICATION white,ARTIST COUNTRY cdn,ARTIST COUNTRY int,ARTIST COUNTRY uk,ARTIST COUNTRY us,ARTIST COUNTRY us/cdn,CANADIAN CONTENT no,CANADIAN CONTENT yes,ARTIST COUNTRY unknown,ARTIST GENDER unknown,CENSUS RACE CLASSIFICATION unknown,ARTIST GENDER female group,CENSUS RACE CLASSIFICATION native american,CENSUS RACE CLASSIFICATION native canadian,CENSUS RACE CLASSIFICATION middle eastern,CENSUS RACE CLASSIFICATION unidentified,CENSUS RACE CLASSIFICATION asian indian,CENSUS RACE CLASSIFICATION jewish,CENSUS RACE CLASSIFICATION romany,CENSUS RACE CLASSIFICATION other asian,CENSUS RACE CLASSIFICATION indian,CENSUS RACE CLASSIFICATION indian asian,CENSUS RACE CLASSIFICATION inuit,CENSUS RACE CLASSIFICATION metis,ARTIST GENDER no,CENSUS RACE CLASSIFICATION male,CENSUS RACE CLASSIFICATION east asian
0,cfre,2006-01-10,46.59,-79.66,mississauga,on,"toronto, on",us,indie,alpha pup,0.0,0.6,0.4,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.4,0.0,0.0,0.6,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,cfuv,2006-01-10,48.43,-123.35,victoria,bc,"new york, ny",us,indie,urbnet,0.0,0.8,0.2,0.0,0.0,0.0,0.7,0.0,0.1,0.2,0.2,0.1,0.0,0.7,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,chrw,2006-01-10,42.983,-81.25,london,on,"new york, ny",us,indie,self-released,0.0,0.8,0.2,0.0,0.0,0.0,0.5,0.0,0.1,0.4,0.4,0.0,0.1,0.5,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,chuo,2006-01-10,45.417,-75.7,ottawa,on,"los angeles, ca",us,indie,arc the finger,0.0,0.4,0.6,0.0,0.0,0.0,0.4,0.0,0.1,0.5,0.3,0.0,0.0,0.7,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,cilu,2006-01-10,48.4,-89.2,thunder bay,on,"los angeles, ca",us,indie,alpha pup,0.1,0.7,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.3,0.0,0.1,0.6,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ciut,2006-01-10,43.66,-79.42,toronto,on,"new york, ny",cdn,indie,big dada,0.0,0.7,0.3,0.0,0.1,0.0,0.6,0.0,0.1,0.2,0.3,0.2,0.1,0.3,0.1,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,cjsf,2006-01-10,49.25,-123.13,burnaby,bc,"new york, ny",us,indie,blue note,0.0,0.7,0.2,0.1,0.0,0.0,0.7,0.0,0.2,0.1,0.3,0.1,0.1,0.5,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,cjsr,2006-01-10,53.55,-113.5,edmonton,ab,"los angeles, ca",us,indie,chocolate industries,0.1,0.5,0.3,0.1,0.0,0.0,0.3,0.1,0.2,0.4,0.2,0.1,0.1,0.6,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,cjsw,2006-01-10,51.08,-114.08,calgary,ab,unknown,us,indie,chocolate industries,0.1,0.3,0.4,0.2,0.0,0.0,0.2,0.0,0.4,0.4,0.2,0.2,0.1,0.5,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,cjum,2006-01-10,49.88,-97.17,winnipeg,mb,"los angeles, ca",us,indie,alpha pup,0.1,0.5,0.4,0.0,0.0,0.1,0.6,0.0,0.1,0.2,0.1,0.0,0.1,0.8,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
